month_year,em_admits
01/08/10,425702
01/09/10,424900
01/10/10,436215
01/11/10,429099
01/12/10,452728
01/01/11,442003
01/02/11,401206
01/03/11,446845
01/04/11,419243
01/05/11,427276
01/06/11,413320
01/07/11,425797
01/08/11,410554
01/09/11,410760
01/10/11,435080
01/11/11,424887
01/12/11,441655
01/01/12,436198
01/02/12,420552
01/03/12,454396
01/04/12,424128
01/05/12,443877
01/06/12,426005
01/07/12,444955
01/08/12,425172
01/09/12,421778
01/10/12,446302
01/11/12,435309
01/12/12,451180
01/01/13,437210
01/02/13,404950
01/03/13,453638
01/04/13,429244
01/05/13,437698
01/06/13,423199
01/07/13,443851
01/08/13,426909
01/09/13,427778
01/10/13,449631
01/11/13,441624
01/12/13,462417
01/01/14,457387
01/02/14,420487
01/03/14,467851
01/04/14,448681
01/05/14,466071
01/06/14,450817
01/07/14,463122
01/08/14,441757
01/09/14,446126
01/10/14,469268
01/11/14,464342
01/12/14,484360
01/01/15,463400
01/02/15,424634
01/03/15,474940
01/04/15,450253
01/05/15,468415
01/06/15,458790
01/07/15,473914
01/08/15,455432
01/09/15,464195
01/10/15,479987
01/11/15,475564
01/12/15,487798
01/01/16,484833
01/02/16,462864
01/03/16,494076
01/04/16,460209
01/05/16,493191
01/06/16,480210
01/07/16,490221
01/08/16,470554
01/09/16,475808
01/10/16,492983
01/11/16,489326
01/12/16,497915
01/01/17,492273
01/02/17,447688
01/03/17,509805
01/04/17,471328
01/05/17,505843
01/06/17,491206
01/07/17,499259
01/08/17,486074
01/09/17,486799
01/10/17,513217
01/11/17,513019
01/12/17,520803
01/01/18,526045
01/02/18,476867
01/03/18,526066
01/04/18,503393
01/05/18,533457
01/06/18,513254
01/07/18,529932
01/08/18,517299
01/09/18,510322
01/10/18,546022
01/11/18,545357
01/12/18,544903
01/01/19,564035
01/02/19,505722
01/03/19,555457
01/04/19,535226
01/05/19,547382
01/06/19,528801
01/07/19,554069
01/08/19,529231
01/09/19,529903
01/10/19,563079
